Volume,Ulcer,ATR,BBhPrice,BBlPrice,BBWidth,EMA5Price,EMA10Price,EMA20Price,MACDHist,DIplus,DIminus,VI,TRIX,CCI,DPO,STC,PSARUp,PSARDown,RSI,SRSI,TSI,UO,SO,WR,AO,ROC,PPOHist,CandleBodyWidth,CandleTopWick,CandleBottomWick,Prev Day,Week Open,Month Open,Year Open:,Label
86119601,0.700507844,0.94279216,-0.572418619,4.410955826,4.889531208,0.467273819,0.90386543,1.592895936,-0.012506284,23.16625414,15.48553643,0.415670233,0.183331232,104.1341392,-1.214,14.27972758,0,0,62.46016115,0.956972399,34.69665237,61.79993484,93.09720266,-6.902797344,1.354470588,4.126379009,0.218218697,0.799942272,0.35077672,0.071179517,0.799942272,0.882098052,3.814630003,,1
49890233,0.562570503,0.918878434,-0.621847046,4.643905987,5.161944802,0.458415733,0.920009224,1.64139369,0.007182394,22.07098743,14.75340286,0.514433881,0.183303496,105.7514044,-0.7271,57.13986379,0,0,63.56919288,1,36.77442026,64.93187156,97.44415375,-2.555846247,1.337078431,3.390831883,0.213420609,0.4499795,0.070408882,0.102606197,0.4499795,1.165479509,3.537205101,,-1
75236965,0.337358205,0.921529975,-1.293452186,4.011150857,5.233487828,-0.049084887,0.315220559,0.996998759,-0.045975296,20.43500786,16.05566238,0.631036354,0.160028593,82.26268847,0.15795,31.42304165,0,0,59.05474486,0.659353151,31.4612085,62.37552169,84.85700891,-15.14299109,1.319519608,2.176009392,0.159674426,-0.350633287,0.290320272,0.338648084,-0.350633287,0.276717655,2.082918809,,-1
44772217,0.298178074,0.891634977,-1.474381371,3.77676491,5.191383501,-0.086078381,0.192151303,0.828206251,-0.077795573,19.61132901,16.40216058,0.507683605,0.127035069,61.84654191,0.4526,15.71152082,0,0,58.3836848,0.474932897,27.10247535,63.36824711,81.24838125,-18.75161875,1.079872549,1.042563565,0.106862627,0.010267784,0.131414139,0.376183949,0.010267784,-0.019502982,1.786983238,,-1
82184838,0.326867063,0.899303907,-1.517936945,3.766706623,5.225884515,-0.010883735,0.214342666,0.81232224,-0.082278536,24.8953086,15.10033756,0.531756757,0.097638207,81.0145489,0.2159,7.855760412,0,0,58.82298404,0.151098933,24.68593274,53.5181647,64.99429875,-35.00570125,0.925166667,0.680707771,0.06678456,-0.230308614,0.712421311,0.080088714,-0.230308614,0.029761599,2.457637809,,-1
61644235,0.37757216,0.888639342,-1.696922187,3.311947591,4.968746518,-0.119486224,0.037408352,0.581133458,-0.094456508,23.3941109,16.44099666,0.261582035,0.067071601,57.88604192,0.61485,3.927880206,0,0,57.25328335,0,20.74938444,48.69472491,47.63513514,-52.36486486,0.666303922,0.659990897,0.021391852,-0.426716331,0.142238777,0.199769338,-0.426716331,0.30822518,2.163893118,,0
70448215,0.383018461,0.891165103,-1.322686963,3.606106055,4.873155734,0.232798737,0.414629273,0.952225008,-0.052503436,21.66111854,16.69822734,0.151776103,0.059012767,60.82021861,0.27115,50.9843173,0,0,60.42265716,0.501807981,22.26680267,55.40823736,69.09448819,-30.90551181,0.523882353,0.578183352,0.015809662,0.619590165,0.091036486,0.240384615,0.619590165,0.208077081,3.037489065,,-1
44984665,0.401876037,0.886510453,-1.423150552,2.838131262,4.231345453,-0.004058463,0.143389427,0.643414294,-0.056485578,20.54154431,15.58665965,0.162545178,0.048639307,56.62892902,0.0218,25.49215865,0,0,58.05910368,0.127585794,19.84364434,53.29986562,55.95907928,-44.04092072,0.233970588,0.55883202,-0.009911796,-0.309711447,0.060306849,0.478025261,-0.309711447,-0.299520563,2.439946643,,-1
61003316,0.403870678,0.895688278,-0.811415644,2.44317709,3.228254032,0.217152609,0.387498664,0.881950665,-0.028133078,21.69415442,14.32476332,0.124779991,0.050716837,82.47897415,0.3256,62.74607932,0,0,60.3664522,0.492909031,21.46187418,51.85448444,72.42966752,-27.57033248,0.226676471,0.97203591,-0.010441507,0.530122462,0.401626947,0.10901985,0.530122462,0.472318055,3.691929468,,-1
41900444,0.399601751,0.879996258,-0.397141638,2.131562545,2.506963533,0.298630226,0.506174734,1.007693058,-0.000763679,21.45342076,13.53860523,0.188190198,0.062642626,117.0625046,0.32995,81.37303966,0,0,61.94872707,0.743431123,24.78370637,53.8093963,83.98976982,-16.01023018,0.355098039,0.684727597,-0.001476161,0.342735541,0.289565448,0.058350224,0.342735541,0.39203644,4.462764145,,-1
